序号,名称,类型,上映日期,片长,评分,收入（百万）
802,Seven Psychopaths,"Comedy,Crime",2012,110,7.2,14.99
803,Beowulf,"Animation,Action,Adventure",2007,115,6.2,82.16
804,Jack Ryan: Shadow Recruit,"Action,Drama,Thriller",2014,105,6.2,50.55
805,1408,"Fantasy,Horror",2007,104,6.8,71.98
806,The Gambler,"Crime,Drama,Thriller",2014,111,6,33.63
807,Prince of Persia: The Sands of Time,"Action,Adventure,Fantasy",2010,116,6.6,90.76
808,The Spectacular Now,"Comedy,Drama,Romance",2013,95,7.1,6.85
809,A United Kingdom,"Biography,Drama,Romance",2016,111,6.8,3.9
810,USS Indianapolis: Men of Courage,"Action,Drama,History",2016,128,5.2,
811,Turbo Kid,"Action,Adventure,Comedy",2015,93,6.7,0.05
812,Mama,"Horror,Thriller",2013,100,6.2,71.59
813,Orphan,"Horror,Mystery,Thriller",2009,123,7,41.57
814,To Rome with Love,"Comedy,Romance",2012,112,6.3,16.68
815,Fantastic Mr. Fox,"Animation,Adventure,Comedy",2009,87,7.8,21
816,Inside Man,"Crime,Drama,Mystery",2006,129,7.6,88.5
817,I.T.,"Crime,Drama,Mystery",2016,95,5.4,
818,127 Hours,"Adventure,Biography,Drama",2010,94,7.6,18.33
819,Annabelle,"Horror,Mystery,Thriller",2014,99,5.4,84.26
820,Wolves at the Door,"Horror,Thriller",2016,73,4.6,
821,Suite Fran莽aise,"Drama,Romance,War",2014,107,6.9,
822,The Imaginarium of Doctor Parnassus,"Adventure,Fantasy,Mystery",2009,123,6.8,7.69
823,G.I. Joe: The Rise of Cobra,"Action,Adventure,Sci-Fi",2009,118,5.8,150.17
824,Christine,"Biography,Drama",2016,119,7,0.3
825,Man Down,"Drama,Thriller",2015,90,5.8,
826,Crawlspace,"Horror,Thriller",2016,88,5.3,
827,Shut In,"Drama,Horror,Thriller",2016,91,4.6,6.88
828,The Warriors Gate,"Action,Adventure,Fantasy",2016,108,5.3,
829,Grindhouse,"Action,Horror,Thriller",2007,191,7.6,25.03
830,Disaster Movie,Comedy,2008,87,1.9,14.17
831,Rocky Balboa,"Drama,Sport",2006,102,7.2,70.27
832,Diary of a Wimpy Kid: Dog Days,"Comedy,Family",2012,94,6.4,49
833,Jane Eyre,"Drama,Romance",2011,120,7.4,11.23
834,Fool's Gold,"Action,Adventure,Comedy",2008,112,5.7,70.22
835,The Dictator,Comedy,2012,83,6.4,59.62
836,The Loft,"Mystery,Romance,Thriller",2014,108,6.3,5.98
837,Bacalaureat,"Crime,Drama",2016,128,7.5,0.13
838,You Don't Mess with the Zohan,"Action,Comedy",2008,113,5.5,100.02
839,Exposed,"Crime,Drama,Mystery",2016,102,4.2,
840,Maudie,"Biography,Drama,Romance",2016,115,7.8,
841,Horrible Bosses 2,"Comedy,Crime",2014,108,6.3,54.41
842,A Bigger Splash,"Drama,Thriller",2015,125,6.4,1.98
843,Melancholia,Drama,2011,135,7.1,3.03
844,The Princess and the Frog,"Animation,Adventure,Comedy",2009,97,7.1,104.37
845,Unstoppable,"Action,Thriller",2010,98,6.8,81.56
846,Flight,"Drama,Thriller",2012,138,7.3,93.75
847,Home,"Animation,Adventure,Comedy",2015,94,6.7,177.34
848,La migliore offerta,"Crime,Drama,Mystery",2013,131,7.8,0.09
849,Mean Dreams,Thriller,2016,108,6.3,
850,42,"Biography,Drama,Sport",2013,128,7.5,95
851,21,"Crime,Drama,Thriller",2008,123,6.8,81.16
852,Begin Again,"Drama,Music",2013,104,7.4,16.17
853,Out of the Furnace,"Crime,Drama,Thriller",2013,116,6.8,11.33
854,Vicky Cristina Barcelona,"Drama,Romance",2008,96,7.1,23.21
855,Kung Fu Panda,"Animation,Action,Adventure",2008,92,7.6,215.4
856,Barbershop: The Next Cut,"Comedy,Drama",2016,111,5.9,54.01
857,Terminator Salvation,"Action,Adventure,Drama",2009,115,6.6,125.32
858,Freedom Writers,"Biography,Crime,Drama",2007,123,7.5,36.58
859,The Hills Have Eyes,Horror,2006,107,6.4,41.78
860,Changeling,"Biography,Drama,Mystery",2008,141,7.8,35.71
861,Remember Me,"Drama,Romance",2010,113,7.2,19.06
862,Koe no katachi,"Animation,Drama,Romance",2016,129,8.4,
863,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Comedy,Family",2014,81,6.2,66.95
864,Locke,Drama,2013,85,7.1,1.36
865,The 9th Life of Louis Drax,"Mystery,Thriller",2016,108,6.3,
866,Horns,"Drama,Fantasy,Horror",2013,120,6.5,0.16
867,Indignation,"Drama,Romance",2016,110,6.9,3.4
868,The Stanford Prison Experiment,"Biography,Drama,History",2015,122,6.9,0.64
869,Diary of a Wimpy Kid: Rodrick Rules,"Comedy,Family",2011,99,6.6,52.69
870,Mission: Impossible III,"Action,Adventure,Thriller",2006,126,6.9,133.38
871,En man som heter Ove,"Comedy,Drama",2015,116,7.7,3.36
872,Dragonball Evolution,"Action,Adventure,Fantasy",2009,85,2.7,9.35
873,Red Dawn,"Action,Thriller",2012,93,5.4,44.8
874,One Day,"Drama,Romance",2011,107,7,13.77
875,Life as We Know It,"Comedy,Drama,Romance",2010,114,6.6,53.36
876,28 Weeks Later,"Drama,Horror,Sci-Fi",2007,100,7,28.64
877,Warm Bodies,"Comedy,Horror,Romance",2013,98,6.9,66.36
878,Blue Jasmine,Drama,2013,98,7.3,33.4
879,G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi",2013,110,5.8,122.51
880,Wrath of the Titans,"Action,Adventure,Fantasy",2012,99,5.8,83.64
881,Shin Gojira,"Action,Adventure,Drama",2016,120,6.9,1.91
882,Saving Mr. Banks,"Biography,Comedy,Drama",2013,125,7.5,83.3
883,Transcendence,"Drama,Mystery,Romance",2014,119,6.3,23.01
884,Rio,"Animation,Adventure,Comedy",2011,96,6.9,143.62
885,Equals,"Drama,Romance,Sci-Fi",2015,101,6.1,0.03
886,Babel,Drama,2006,143,7.5,34.3
887,The Tree of Life,"Drama,Fantasy",2011,139,6.8,13.3
888,The Lucky One,"Drama,Romance",2012,101,6.5,60.44
889,Piranha 3D,"Comedy,Horror,Thriller",2010,88,5.5,25
890,50/50,"Comedy,Drama,Romance",2011,100,7.7,34.96
891,The Intent,"Crime,Drama",2016,104,3.5,
892,This Is 40,"Comedy,Romance",2012,134,6.2,67.52
893,Real Steel,"Action,Drama,Family",2011,127,7.1,85.46
894,Sex and the City,"Comedy,Drama,Romance",2008,145,5.5,152.64
895,Rambo,"Action,Thriller,War",2008,92,7.1,42.72
896,Planet Terror,"Action,Comedy,Horror",2007,105,7.1,
897,Concussion,"Biography,Drama,Sport",2015,123,7.1,34.53
898,The Fall,"Adventure,Comedy,Drama",2006,117,7.9,2.28
899,The Ugly Truth,"Comedy,Romance",2009,96,6.5,88.92
900,Bride Wars,"Comedy,Romance",2009,89,5.5,58.72
901,Sleeping with Other People,"Comedy,Drama,Romance",2015,101,6.5,0.81
902,Snakes on a Plane,"Action,Adventure,Crime",2006,105,5.6,34.01
903,What If,"Comedy,Romance",2013,98,6.8,3.45
904,How to Train Your Dragon 2,"Animation,Action,Adventure",2014,102,7.9,177
905,RoboCop,"Action,Crime,Sci-Fi",2014,117,6.2,58.61
906,In Dubious Battle,Drama,2016,110,6.2,
907,"Hello, My Name Is Doris","Comedy,Drama,Romance",2015,95,6.7,14.44
908,Ocean's Thirteen,"Crime,Thriller",2007,122,6.9,117.14
909,Slither,"Comedy,Horror,Sci-Fi",2006,95,6.5,7.77
910,Contagion,"Drama,Thriller",2011,106,6.6,75.64
911,Il racconto dei racconti - Tale of Tales,"Drama,Fantasy,Horror",2015,133,6.4,0.08
912,I Am the Pretty Thing That Lives in the House,Thriller,2016,87,4.7,
913,Bridge to Terabithia,"Adventure,Drama,Family",2007,96,7.2,82.23
914,Coherence,"Mystery,Sci-Fi,Thriller",2013,89,7.2,0.07
915,Notorious,"Biography,Crime,Drama",2009,122,6.7,36.84
916,Goksung,"Drama,Fantasy,Horror",2016,156,7.5,0.79
917,The Expendables 2,"Action,Adventure,Thriller",2012,103,6.6,85.02
918,The Girl Next Door,"Crime,Drama,Horror",2007,91,6.7,
919,Perfume: The Story of a Murderer,"Crime,Drama,Fantasy",2006,147,7.5,2.21
920,The Golden Compass,"Adventure,Family,Fantasy",2007,113,6.1,70.08
921,Centurion,"Action,Adventure,Drama",2010,97,6.4,0.12
922,Scouts Guide to the Zombie Apocalypse,"Action,Comedy,Horror",2015,93,6.3,3.64
923,17 Again,"Comedy,Drama,Family",2009,102,6.4,64.15
924,No Escape,"Action,Thriller",2015,103,6.8,27.29
925,Superman Returns,"Action,Adventure,Sci-Fi",2006,154,6.1,200.07
926,The Twilight Saga: Breaking Dawn - Part 1,"Adventure,Drama,Fantasy",2011,117,4.9,281.28
927,Precious,Drama,2009,110,7.3,47.54
928,The Sea of Trees,Drama,2015,110,5.9,0.02
929,Good Kids,Comedy,2016,86,6.1,
930,The Master,Drama,2012,144,7.1,16.38
931,Footloose,"Comedy,Drama,Music",2011,113,5.9,51.78
932,If I Stay,"Drama,Fantasy,Music",2014,107,6.8,50.46
933,The Ticket,Drama,2016,97,5.4,
934,Detour,Thriller,2016,97,6.3,
935,The Love Witch,"Comedy,Horror",2016,120,6.2,0.22
936,Talladega Nights: The Ballad of Ricky Bobby,"Action,Comedy,Sport",2006,108,6.6,148.21
937,The Human Centipede (First Sequence),Horror,2009,92,4.4,0.18
938,Super,"Comedy,Drama",2010,96,6.8,0.32
939,The Siege of Jadotville,"Action,Drama,Thriller",2016,108,7.3,
940,Up in the Air,"Drama,Romance",2009,109,7.4,83.81
941,The Midnight Meat Train,"Horror,Mystery",2008,98,6.1,0.07
942,The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy",2010,124,4.9,300.52
943,Transpecos,Thriller,2016,86,5.8,
944,What's Your Number?,"Comedy,Romance",2011,106,6.1,13.99
945,Riddick,"Action,Sci-Fi,Thriller",2013,119,6.4,42
946,Triangle,"Fantasy,Mystery,Thriller",2009,99,6.9,
947,The Butler,"Biography,Drama",2013,132,7.2,116.63
948,King Cobra,"Crime,Drama",2016,91,5.6,0.03
949,After Earth,"Action,Adventure,Sci-Fi",2013,100,4.9,60.52
950,Kicks,Adventure,2016,80,6.1,0.15
951,Me and Earl and the Dying Girl,"Comedy,Drama",2015,105,7.8,6.74
952,The Descendants,"Comedy,Drama",2011,115,7.3,82.62
953,Sex and the City 2,"Comedy,Drama,Romance",2010,146,4.3,95.33
954,The Kings of Summer,"Adventure,Comedy,Drama",2013,95,7.2,1.29
955,Death Race,"Action,Sci-Fi,Thriller",2008,105,6.4,36.06
956,That Awkward Moment,"Comedy,Romance",2014,94,6.2,26.05
957,Legion,"Action,Fantasy,Horror",2010,100,5.2,40.17
958,End of Watch,"Crime,Drama,Thriller",2012,109,7.7,40.98
959,3 Days to Kill,"Action,Drama,Thriller",2014,117,6.2,30.69
960,Lucky Number Slevin,"Crime,Drama,Mystery",2006,110,7.8,22.49
961,Trance,"Crime,Drama,Mystery",2013,101,7,2.32
962,Into the Forest,"Drama,Sci-Fi,Thriller",2015,101,5.9,0.01
963,The Other Boleyn Girl,"Biography,Drama,History",2008,115,6.7,26.81
964,I Spit on Your Grave,"Crime,Horror,Thriller",2010,108,6.3,0.09
965,Custody,Drama,2016,104,6.9,
966,Inland Empire,"Drama,Mystery,Thriller",2006,180,7,
967,L'odyss茅e,"Adventure,Biography",2016,122,6.7,
968,The Walk,"Adventure,Biography,Crime",2015,123,7.3,10.14
969,Wrecker,"Action,Horror,Thriller",2015,83,3.5,
970,The Lone Ranger,"Action,Adventure,Western",2013,150,6.5,89.29
971,Texas Chainsaw 3D,"Horror,Thriller",2013,92,4.8,34.33
972,Disturbia,"Drama,Mystery,Thriller",2007,105,6.9,80.05
973,Rock of Ages,"Comedy,Drama,Musical",2012,123,5.9,38.51
974,Scream 4,"Horror,Mystery",2011,111,6.2,38.18
975,Queen of Katwe,"Biography,Drama,Sport",2016,124,7.4,8.81
976,My Big Fat Greek Wedding 2,"Comedy,Family,Romance",2016,94,6,59.57
977,Dark Places,"Drama,Mystery,Thriller",2015,113,6.2,
978,Amateur Night,Comedy,2016,92,5,
979,It's Only the End of the World,Drama,2016,97,7,
980,The Skin I Live In,"Drama,Thriller",2011,120,7.6,3.19
981,Miracles from Heaven,"Biography,Drama,Family",2016,109,7,61.69
982,Annie,"Comedy,Drama,Family",2014,118,5.3,85.91
983,Across the Universe,"Drama,Fantasy,Musical",2007,133,7.4,24.34
984,Let's Be Cops,Comedy,2014,104,6.5,82.39
985,Max,"Adventure,Family",2015,111,6.8,42.65
986,Your Highness,"Adventure,Comedy,Fantasy",2011,102,5.6,21.56
987,Final Destination 5,"Horror,Thriller",2011,92,5.9,42.58
988,Endless Love,"Drama,Romance",2014,104,6.3,23.39
989,Martyrs,Horror,2008,99,7.1,
990,Selma,"Biography,Drama,History",2014,128,7.5,52.07
991,Underworld: Rise of the Lycans,"Action,Adventure,Fantasy",2009,92,6.6,45.8
992,Taare Zameen Par,"Drama,Family,Music",2007,165,8.5,1.2
993,Take Me Home Tonight,"Comedy,Drama,Romance",2011,97,6.3,6.92
994,Resident Evil: Afterlife,"Action,Adventure,Horror",2010,97,5.9,60.13
995,Project X,Comedy,2012,88,6.7,54.72
996,Secret in Their Eyes,"Crime,Drama,Mystery",2015,111,6.2,
997,Hostel: Part II,Horror,2007,94,5.5,17.54
998,Step Up 2: The Streets,"Drama,Music,Romance",2008,98,6.2,58.01
999,Search Party,"Adventure,Comedy",2014,93,5.6,
1000,Nine Lives,"Comedy,Family,Fantasy",2016,87,5.3,19.64
