名称,类型,上映时间,片长,评分,收入(百万)
That Awkward Moment,"Comedy,Romance",2014,94,6.2,26.05
Legion,"Action,Fantasy,Horror",2010,100,5.2,40.17
End of Watch,"Crime,Drama,Thriller",2012,109,7.7,40.98
3 Days to Kill,"Action,Drama,Thriller",2014,117,6.2,30.69
Lucky Number Slevin,"Crime,Drama,Mystery",2006,110,7.8,22.49
Trance,"Crime,Drama,Mystery",2013,101,7,2.32
Into the Forest,"Drama,Sci-Fi,Thriller",2015,101,5.9,0.01
The Other Boleyn Girl,"Biography,Drama,History",2008,115,6.7,26.81
I Spit on Your Grave,"Crime,Horror,Thriller",2010,108,6.3,0.09
The Walk,"Adventure,Biography,Crime",2015,123,7.3,10.14
The Lone Ranger,"Action,Adventure,Western",2013,150,6.5,89.29
Texas Chainsaw 3D,"Horror,Thriller",2013,92,4.8,34.33
Disturbia,"Drama,Mystery,Thriller",2007,105,6.9,80.05
Rock of Ages,"Comedy,Drama,Musical",2012,123,5.9,38.51
Scream 4,"Horror,Mystery",2011,111,6.2,38.18
Queen of Katwe,"Biography,Drama,Sport",2016,124,7.4,8.81
My Big Fat Greek Wedding 2,"Comedy,Family,Romance",2016,94,6,59.57
The Skin I Live In,"Drama,Thriller",2011,120,7.6,3.19
Miracles from Heaven,"Biography,Drama,Family",2016,109,7,61.69
Annie,"Comedy,Drama,Family",2014,118,5.3,85.91
Across the Universe,"Drama,Fantasy,Musical",2007,133,7.4,24.34
Let's Be Cops,Comedy,2014,104,6.5,82.39
Max,"Adventure,Family",2015,111,6.8,42.65
Your Highness,"Adventure,Comedy,Fantasy",2011,102,5.6,21.56
Final Destination 5,"Horror,Thriller",2011,92,5.9,42.58
Endless Love,"Drama,Romance",2014,104,6.3,23.39
Selma,"Biography,Drama,History",2014,128,7.5,52.07
Underworld: Rise of the Lycans,"Action,Adventure,Fantasy",2009,92,6.6,45.8
Taare Zameen Par,"Drama,Family,Music",2007,165,8.5,1.2
Take Me Home Tonight,"Comedy,Drama,Romance",2011,97,6.3,6.92
Resident Evil: Afterlife,"Action,Adventure,Horror",2010,97,5.9,60.13
Project X,Comedy,2012,88,6.7,54.72
Hostel: Part II,Horror,2007,94,5.5,17.54
Step Up 2: The Streets,"Drama,Music,Romance",2008,98,6.2,58.01
Nine Lives,"Comedy,Family,Fantasy",2016,87,5.3,19.64
